iter	Logloss
0	0.6536683078
1	0.617905735
2	0.5888300052
3	0.5651538242
4	0.5418376537
5	0.5228365353
6	0.5059009412
7	0.496031563
8	0.4835504952
9	0.4743885139
10	0.4664496104
11	0.4596970895
12	0.4517973166
13	0.4438373865
14	0.4385175198
15	0.4343653635
16	0.4283933862
17	0.4243773349
18	0.420845262
19	0.4173114842
20	0.414544733
21	0.4114795088
22	0.4086398138
23	0.4059735278
24	0.4040354625
25	0.4017532581
26	0.4000492056
27	0.3979655367
28	0.3956273154
29	0.3929492983
30	0.3905501077
31	0.3889811049
32	0.3876436795
33	0.3860378597
34	0.3848718137
35	0.3839178609
36	0.3823926569
37	0.3813524867
38	0.3800475755
39	0.3787088917
40	0.3778489094
41	0.3767445227
42	0.375837819
43	0.3747713046
44	0.3737612537
45	0.3730674957
46	0.3722352378
47	0.3714596058
48	0.3704932724
49	0.3696334526
50	0.3689065309
51	0.368285189
52	0.367429063
53	0.3667075401
54	0.3657405979
55	0.364984653
56	0.3643257229
57	0.3635435961
58	0.3627046811
59	0.3618159597
60	0.3611241096
61	0.3605652388
62	0.3598994081
63	0.3593243818
64	0.3586811202
65	0.3581453869
66	0.3575118269
67	0.3568713256
68	0.3561712353
69	0.3556324576
70	0.3551454347
71	0.3546105944
72	0.353896581
73	0.3532361896
74	0.3526702559
75	0.3519759296
76	0.3514973092
77	0.3509818313
78	0.3502877892
79	0.3497665067
80	0.3491274667
81	0.3485677029
82	0.3477805833
83	0.3472787443
84	0.3467286821
85	0.3460074839
86	0.3453921496
87	0.3448068129
88	0.3444052768
89	0.3437208143
90	0.343067689
91	0.3423107292
92	0.3417111041
93	0.3411738283
94	0.3404730276
95	0.3401461807
96	0.3396895004
97	0.3392030255
98	0.3387775401
99	0.3383898864
100	0.337813074
101	0.3372633161
102	0.3368091525
103	0.3362895545
104	0.3356421526
105	0.3352421386
106	0.3346878345
107	0.334141872
108	0.3336523933
109	0.3332657747
110	0.3328022749
111	0.3322038472
112	0.3318464346
113	0.3313875217
114	0.330929177
115	0.3305501694
116	0.3301726638
117	0.3297004164
118	0.3292598713
119	0.3287403951
120	0.3283113782
121	0.3278745676
122	0.3273960487
123	0.3268536786
124	0.326438808
125	0.326078351
126	0.3256208182
127	0.3252827883
128	0.3248538931
129	0.3243268262
130	0.32377855
131	0.3234034595
132	0.3228593643
133	0.3225926748
134	0.3220960722
135	0.3217447078
136	0.3213599361
137	0.3210485346
138	0.3205376639
139	0.3201919214
140	0.3198101739
141	0.3193039713
142	0.3190039355
143	0.3186310573
144	0.3182272683
145	0.3178436738
146	0.3172129552
147	0.3169020814
148	0.3164677266
149	0.3161085888
150	0.3156692209
151	0.3152964239
152	0.314813237
153	0.3143668873
154	0.3139238661
155	0.3135458936
156	0.3131351025
157	0.312554028
158	0.3122263693
159	0.3118314294
160	0.311506673
161	0.3110615411
162	0.310714175
163	0.3103285915
164	0.3099604829
165	0.3094891488
166	0.3091228871
167	0.3087712183
168	0.3085407571
169	0.3081508912
170	0.3076407106
171	0.3071869528
172	0.3066540407
173	0.3062247193
174	0.3059364958
175	0.3055177486
176	0.305106511
177	0.3047029859
178	0.304254566
179	0.3038182019
180	0.3035285982
181	0.3032488381
182	0.3029128986
183	0.3026411352
184	0.302166371
185	0.3017944671
186	0.3015191721
187	0.3012456834
188	0.300866067
189	0.3004354467
190	0.3000704434
191	0.2997516743
192	0.2994859185
193	0.2991714725
194	0.2988797174
195	0.2984526286
196	0.2981703518
197	0.2978133248
198	0.2973595468
199	0.2969698635
200	0.2966714717
201	0.2963375009
202	0.295975542
203	0.2956269988
204	0.2951928875
205	0.2947554884
206	0.2943267962
207	0.2939830428
208	0.2937032015
209	0.293275585
210	0.2929576887
211	0.2926507725
212	0.2922894022
213	0.2920641165
214	0.2917477221
215	0.2915361566
216	0.2911508776
217	0.2906774733
218	0.2903675939
219	0.2900019411
220	0.2896732473
221	0.2893249882
222	0.2890379824
223	0.288648908
224	0.2882935656
225	0.2880126486
226	0.2875890304
227	0.2871428431
228	0.2868898534
229	0.2864804222
230	0.2862038079
231	0.2858272765
232	0.2854227974
233	0.2850966
234	0.2847915714
235	0.2844994713
236	0.2842234051
237	0.283902505
238	0.2836125969
239	0.283259832
240	0.2828867712
241	0.2825652825
242	0.2822957516
243	0.281860727
244	0.2815161618
245	0.2812501624
246	0.2809023701
247	0.2805177405
248	0.2801319338
249	0.27970176
250	0.2794140641
251	0.2791577256
252	0.2787585641
253	0.2784266636
254	0.2781919809
255	0.2778786309
256	0.2775085535
257	0.2771919359
258	0.2769072033
259	0.2764844781
260	0.2762589083
261	0.2759321833
262	0.2756594862
263	0.2752563466
264	0.2749340258
265	0.2746036881
266	0.2743076303
267	0.2739946253
268	0.2737138504
269	0.2734412142
270	0.2731170058
271	0.2727546816
272	0.2725368648
273	0.2722701957
274	0.2719525226
275	0.2716832352
276	0.2713950929
277	0.2710772778
278	0.2707961781
279	0.2704868061
280	0.270247638
281	0.2700141528
282	0.2697843006
283	0.2695483189
284	0.2692631601
285	0.2689475775
286	0.2686252567
287	0.2682716394
288	0.2679711571
289	0.2676657834
290	0.2673734195
291	0.2671181161
292	0.2667977843
293	0.2665740208
294	0.2663132781
295	0.2661031332
296	0.2658800802
297	0.2656743802
298	0.2653698995
299	0.2651846579
