iter	Passed	Remaining
502	1074	207
503	1076	205
504	1078	202
505	1080	200
506	1081	198
507	1083	196
508	1086	194
509	1088	192
510	1090	189
511	1092	187
512	1094	185
513	1096	183
514	1098	181
515	1100	179
516	1102	176
517	1104	174
518	1106	172
519	1108	170
520	1109	168
521	1111	166
522	1113	163
523	1115	161
524	1117	159
525	1119	157
526	1121	155
527	1123	153
528	1125	151
529	1127	148
530	1129	146
531	1130	144
532	1132	142
533	1135	140
534	1137	138
535	1139	136
536	1141	133
537	1143	131
538	1145	129
539	1147	127
540	1149	125
541	1151	123
542	1153	121
543	1155	118
544	1157	116
545	1159	114
546	1161	112
547	1163	110
548	1165	108
549	1167	106
550	1169	104
551	1171	101
552	1173	99
553	1175	97
554	1176	95
555	1179	93
556	1180	91
557	1183	89
558	1185	86
559	1187	84
560	1188	82
561	1190	80
562	1192	78
563	1194	76
564	1196	74
565	1198	72
566	1200	69
567	1202	67
568	1204	65
569	1206	63
570	1208	61
571	1210	59
572	1212	57
573	1214	54
574	1216	52
575	1218	50
576	1220	48
577	1222	46
578	1224	44
579	1225	42
580	1227	40
581	1229	38
582	1231	35
583	1233	33
584	1235	31
585	1237	29
586	1239	27
587	1241	25
588	1243	23
589	1245	21
590	1247	18
591	1249	16
592	1251	14
593	1253	12
594	1255	10
595	1257	8
596	1259	6
597	1261	4
598	1263	2
599	1266	0
